"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US06001401400","Census Tract 4014; Alameda County; California","5392","777","1622","310","1716","418","51","81","748","310","0","19","730","376","525","186","131","97","394","152",
"1400000US06001401500","Census Tract 4015; Alameda County; California","3035","613","688","171","1688","582","15","18","88","54","0","13","297","191","259","153","140","125","119","86",
"1400000US06001401600","Census Tract 4016; Alameda County; California","2403","385","692","201","788","208","30","35","265","150","23","36","290","184","315","170","123","132","192","107",
"1400000US06001401700","Census Tract 4017; Alameda County; California","3276","493","1598","375","593","360","0","13","551","138","6","9","254","105","274","124","58","70","216","106",
"1400000US06001401800","Census Tract 4018; Alameda County; California","1709","273","426","114","664","167","5","8","78","59","0","13","342","219","194","91","67","51","127","68",
"1400000US06001402200","Census Tract 4022; Alameda County; California","2337","393","787","208","665","281","15","15","295","120","17","30","309","179","249","122","139","94","110","89",
"1400000US06001402400","Census Tract 4024; Alameda County; California","2623","532","392","170","1432","443","31","39","393","201","0","13","60","80","315","185","42","51","273","151",
"1400000US06001402500","Census Tract 4025; Alameda County; California","2010","363","331","239","906","329","0","13","388","185","0","13","199","182","186","134","0","13","186","134",
"1400000US06001402600","Census Tract 4026; Alameda County; California","1300","263","173","94","508","188","4","7","489","96","0","13","0","13","126","127","0","13","126","127",
"1400000US06001402700","Census Tract 4027; Alameda County; California","2039","376","639","240","768","239","0","13","312","192","0","13","218","148","102","46","32","35","70","37",
"1400000US06001402801","Census Tract 4028.01; Alameda County; California","3254","626","921","229","1411","550","27","36","620","226","0","13","44","68","231","136","36","52","195","122",
"1400000US06001402802","Census Tract 4028.02; Alameda County; California","1430","248","337","209","613","255","0","13","252","161","0","13","43","54","185","171","25","40","160","169",
"1400000US06001402900","Census Tract 4029; Alameda County; California","1828","259","440","123","430","149","5","9","817","207","0","13","86","66","50","38","9","14","41","35",
"1400000US06001403000","Census Tract 4030; Alameda County; California","2897","466","274","118","146","183","13","20","2222","381","45","48","59","42","138","91","0","13","138","91",
"1400000US06001403100","Census Tract 4031; Alameda County; California","1941","284","818","204","330","139","0","13","537","127","14","21","111","63","131","57","82","46","49","35",
"1400000US06001403301","Census Tract 4033.01; Alameda County; California","1830","382","223","176","51","51","88","78","1262","316","0","13","43","42","163","85","88","66","75","62",
"1400000US06001403302","Census Tract 4033.02; Alameda County; California","2556","318","1335","302","123","96","0","13","559","196","0","13","113","91","426","213","56","52","370","209",
"1400000US06001403401","Census Tract 4034.01; Alameda County; California","2717","387","1253","308","478","204","9","15","678","233","0","13","108","97","191","104","40","63","151","89",
"1400000US06001403402","Census Tract 4034.02; Alameda County; California","1134","175","598","189","172","117","0","13","152","110","39","62","0","13","173","74","54","44","119","61",
"1400000US06001403501","Census Tract 4035.01; Alameda County; California","4904","684","1934","603","802","258","30","33","1525","467","17","27","84","88","512","209","71","54","441","215",
"1400000US06001403502","Census Tract 4035.02; Alameda County; California","1919","262","1081","215","221","130","0","13","218","96","0","13","112","68","287","97","67","48","220","85",
"1400000US06001403600","Census Tract 4036; Alameda County; California","5056","687","2148","408","1236","370","67","61","542","172","0","19","170","121","893","402","338","196","555","353",
"1400000US06001403701","Census Tract 4037.01; Alameda County; California","2909","348","1341","294","660","264","0","13","579","203","0","13","163","130","166","84","53","37","113","70",
"1400000US06001403702","Census Tract 4037.02; Alameda County; California","2238","262","1252","242","417","158","0","13","264","119","0","13","27","43","278","129","64","58","214","116",
"1400000US06001403800","Census Tract 4038; Alameda County; California","4008","438","2521","315","620","331","5","8","406","140","5","8","121","80","330","137","127","61","203","129",
"1400000US06001403900","Census Tract 4039; Alameda County; California","3883","701","2559","600","360","204","29","33","601","176","0","13","123","95","211","265","47","46","164","250",
"1400000US06001404000","Census Tract 4040; Alameda County; California","3145","395","1853","342","439","201","0","13","370","124","5","8","85","58","393","169","138","105","255","117",
