"Column Name","Label"
"B15001_078M","Margin of Error!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_079E","Estimate!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_079M","Margin of Error!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_080E","Estimate!!Total:!!Female:!!65 years and over:!!Some college, no degree"
"B15001_080M","Margin of Error!!Total:!!Female:!!65 years and over:!!Some college, no degree"
"B15001_081E","Estimate!!Total:!!Female:!!65 years and over:!!Associate's degree"
"B15001_081M","Margin of Error!!Total:!!Female:!!65 years and over:!!Associate's degree"
"B15001_082E","Estimate!!Total:!!Female:!!65 years and over:!!Bachelor's degree"
"B15001_082M","Margin of Error!!Total:!!Female:!!65 years and over:!!Bachelor's degree"
"B15001_083E","Estimate!!Total:!!Female:!!65 years and over:!!Graduate or professional degree"
"B15001_083M","Margin of Error!!Total:!!Female:!!65 years and over:!!Graduate or professional degree"
